Drive name:	MOTOR
Drive model:	ACS880-01-034A-5 (811)
Firmware:	AINF6 v2.90
Group	GroupName	Index	Name	Value	ValueName	Min	Max	Unit	
6	Control and status words	67	User status word 1 bit 7 sel	2	Identification run done	0	4294967295	NoUnit
6	Control and status words	68	User status word 1 bit 8 sel	2	Start inhibition	0	4294967295	NoUnit
6	Control and status words	69	User status word 1 bit 9 sel	2	Limiting	0	4294967295	NoUnit
6	Control and status words	70	User status word 1 bit 10 sel	2	Torque control	0	4294967295	NoUnit
6	Control and status words	71	User status word 1 bit 11 sel	2	Zero speed	0	4294967295	NoUnit
6	Control and status words	72	User status word 1 bit 12 sel	2	Internal speed feedback	0	4294967295	NoUnit
6	Control and status words	73	User status word 1 bit 13 sel	0	FALSE	0	4294967295	NoUnit
6	Control and status words	74	User status word 1 bit 14 sel	0	FALSE	0	4294967295	NoUnit
6	Control and status words	75	User status word 1 bit 15 sel	0	FALSE	0	4294967295	NoUnit
6	Control and status words	100	User control word 1	0		0	65535	NoUnit
6	Control and status words	101	User control word 2	0		0	65535	NoUnit
7	System info	3	Drive rating id	811	ACS880-01-034A-5 (811)	0	65535	NoUnit
7	System info	4	Firmware name	2765351822	2765351822	0	4294967295	NoUnit
7	System info	5	Firmware version	39452672		0	4294967295	NoUnit
7	System info	6	Loading package name	2765352590	2765352590	0	4294967295	NoUnit
7	System info	7	Loading package version	39452672		0	4294967295	NoUnit
7	System info	8	Bootloader version	38797312		0	4294967295	NoUnit
7	System info	11	Cpu usage	65		0	100	%
7	System info	13	PU logic version number	4160		0	65535	NoUnit
7	System info	15	FPGA logic version number	4400		0	65535	NoUnit
7	System info	25	Customization package name	3774351712	3774351712	0	4294967295	NoUnit
7	System info	26	Customization package version	0		0	4294967295	NoUnit
7	System info	30	Adaptive program status	8		0	65535	NoUnit
7	System info	51	Slot 1 option module	25	FECA-01	0	65535	NoUnit
7	System info	52	Slot 2 option module	0	No option	0	65535	NoUnit
7	System info	53	Slot 3 option module	1021	FEN-31	0	65535	NoUnit
10	Standard DI, RO	1	DI status	32768		0	65535	NoUnit
10	Standard DI, RO	2	DI delayed status	32768		0	65535	NoUnit
10	Standard DI, RO	3	DI force selection	0		0	65535	NoUnit
10	Standard DI, RO	4	DI force data	0		0	65535	NoUnit
10	Standard DI, RO	5	DI1 ON delay	0		0	3000	s
10	Standard DI, RO	6	DI1 OFF delay	0		0	3000	s
10	Standard DI, RO	7	DI2 ON delay	0		0	3000	s
10	Standard DI, RO	8	DI2 OFF delay	0		0	3000	s
10	Standard DI, RO	9	DI3 ON delay	0		0	3000	s
10	Standard DI, RO	10	DI3 OFF delay	0		0	3000	s
10	Standard DI, RO	11	DI4 ON delay	0		0	3000	s
10	Standard DI, RO	12	DI4 OFF delay	0		0	3000	s
10	Standard DI, RO	13	DI5 ON delay	0		0	3000	s
